우선순위,요구사항 ID,요구사항명,기능 요구사항,데이터 요구사항
P0,P_NUM_01,이탈 위험 고객 수,오늘 기준 이탈 위험 고객 수 표시 전일 대비 증감 표시,이탈 예측 모델에서 이탈 확률 n% 이상인 고객 Count
P0,P_NUM_02,예상 손실 결제액,이탈 위험 고객의 예상 손실 월정액 합계 표시 전일 대비 방어 금액 표시,P_NUM_01 고객들의 monthly_charges 합산
P0,P_NUM_03,전날 이탈 방어 성공률,전일 이탈 위험군 중 계약을 유지한 고객 비율 표시,전일 고위험 고객 중 contract 상태가 유지된 고객 비율 계산
P0,P_NUM_06,타겟팅 설정 필터,이탈 위험도 / 계약 유형 / 납부 방식 / 이용 기간 / 월 요금 필터 적용,-
P0,P_NUM_07,타겟 고객 리스트,필터링된 고객 명단을 표 형식으로 표시,-
P0,P_NUM_08,고객별 정보 표출,고객 ID / AI 이탈 위험도(%) / 계약 유형 / 월 요금 / 이용 기간 표시,-
P1,P_NUM_04,이탈 고객 흐름 차트,X축: 날짜 Y축: 고위험 고객 수 & 방어 성공 고객 수 꺾은선 그래프,-
P1,P_NUM_05,이탈 원인 파악 차트,이탈 원인 도넛 차트 표시 (계약 만료 / 요금 불만 / 서비스 불만 / 경쟁사 이동 / 기타),1. contract가 Month-to-month인 고객 2. monthly_charges 급증 고객 3. num_admin_tickets & num_tech_tickets 다수 고객 4. tenure 짧은 신규 고객
P1,P_NUM_09,마케팅 액션 버튼,체크박스로 선택된 고객 수만큼 리텐션 액션 실행 메시지 표시,선택된 고객 수 / 할인쿠폰 발송 수 / 장기계약 전환 유도 수 표시
P1,P_NUM_10,[액션1] 할인쿠폰 발송,선택 고객에게 요금 할인 쿠폰 발송 기능,월 요금 n원 이상 고객 대상
P1,P_NUM_11,[액션2] 장기계약 전환 유도,Month-to-month 고객에게 장기계약 전환 안내 발송,계약 유형이 Month-to-month인 고객에게만 적용
P2,P_NUM_12,시뮬레이터 조건 입력 패널,이탈 방어 가설 수치를 직접 입력하는 패널,쿠폰 발송 비율 / 전환율 등 조건 설정 가능
P2,P_NUM_13,그룹별 비용/수익 비교 차트,리텐션 액션 적용 여부에 따른 A/B 그룹 예상 수익 비교 막대 그래프,A그룹(액션 적용) vs B그룹(미적용) 예상 수익 및 비용 비교
P2,P_NUM_14,결론 도출 Text,A/B 그룹 비교 기반 리텐션 전략 결론 텍스트 표시,A그룹과 B그룹 비교 결론 자동 도출
P2,P_NUM_15,리텐션 효과 차트,액션 적용 전후 이탈율 비교 차트 표시 (전체 대상 / 쿠폰 적용 / 실제 유지 고객),-
P2,P_NUM_16,경고 알림창,입력한 시뮬레이터 조건이 유효하지 않을 경우 경고 알림 표시,-
