iter	Passed	Remaining
0	6	2804
1	10	2499
2	16	2542
3	21	2477
4	26	2399
5	31	2404
6	35	2339
7	41	2358
8	46	2366
9	51	2325
10	59	2440
11	65	2450
12	70	2433
13	75	2410
14	79	2387
15	84	2371
16	90	2365
17	94	2327
18	100	2342
19	104	2324
20	109	2302
21	114	2303
22	118	2272
23	123	2258
24	128	2255
25	133	2245
26	138	2232
27	143	2232
28	148	2226
29	153	2218
30	158	2210
31	164	2210
32	169	2205
33	174	2196
34	179	2192
35	190	2261
36	189	2177
37	193	2167
38	204	2228
39	209	2219
40	214	2207
41	220	2208
42	225	2200
43	229	2186
44	235	2184
45	233	2118
46	244	2164
47	243	2103
48	254	2147
49	259	2142
50	258	2090
51	270	2135
52	269	2081
53	280	2124
54	285	2118
55	284	2069
56	296	2109
57	295	2065
58	306	2100
59	312	2097
60	317	2090
61	322	2085
62	327	2078
63	333	2080
64	338	2075
65	344	2074
66	349	2067
67	355	2066
68	360	2058
69	366	2058
70	371	2053
71	376	2045
72	383	2047
73	387	2038
74	393	2036
75	399	2033
76	404	2029
77	410	2023
78	415	2019
79	420	2012
80	425	2006
81	431	2003
82	428	1961
83	433	1956
84	439	1953
85	450	1973
86	455	1967
87	460	1962
88	465	1956
89	470	1949
90	475	1944
91	481	1942
92	486	1936
93	491	1930
94	496	1923
95	501	1915
96	506	1911
97	511	1905
98	517	1900
99	522	1895
100	527	1889
101	532	1883
102	536	1875
103	541	1870
104	546	1862
105	551	1857
106	556	1851
107	561	1844
108	566	1840
109	572	1835
110	577	1830
111	582	1824
112	587	1818
113	592	1814
114	597	1807
115	602	1803
116	608	1798
117	612	1792
118	617	1785
119	623	1781
120	628	1776
121	633	1770
122	638	1765
123	642	1757
124	647	1749
125	651	1743
126	656	1736
127	661	1732
128	666	1726
129	672	1723
130	678	1718
131	683	1713
132	688	1708
133	693	1702
134	698	1697
135	703	1691
136	708	1685
137	713	1680
138	718	1674
139	724	1670
140	728	1663
141	734	1659
142	738	1652
143	743	1647
144	748	1642
145	753	1635
146	758	1629
147	762	1622
148	767	1616
149	771	1610
150	776	1604
151	781	1598
152	779	1579
153	784	1574
154	790	1570
155	796	1566
156	801	1561
157	806	1556
158	811	1551
159	816	1546
160	821	1540
161	826	1536
162	838	1542
163	836	1524
164	841	1520
165	847	1515
166	851	1509
167	856	1503
168	861	1499
169	867	1494
170	872	1489
171	878	1485
172	883	1480
173	887	1474
174	892	1469
175	898	1464
176	903	1459
177	908	1455
178	914	1450
179	919	1446
180	925	1442
181	931	1437
182	936	1433
183	942	1428
184	947	1423
185	952	1418
186	958	1414
187	962	1408
188	967	1402
189	972	1397
190	978	1393
191	983	1388
192	989	1384
193	994	1378
194	999	1373
195	1005	1369
196	1010	1364
197	1015	1358
198	1020	1354
199	1025	1348
200	1031	1343
201	1036	1338
202	1040	1332
203	1045	1327
204	1051	1322
205	1057	1319
206	1062	1314
207	1068	1309
208	1073	1304
209	1080	1301
210	1085	1296
211	1091	1292
212	1096	1287
213	1102	1282
214	1107	1277
215	1112	1271
216	1117	1267
217	1123	1262
218	1128	1257
219	1133	1252
220	1140	1248
221	1145	1243
222	1149	1237
223	1154	1232
224	1159	1226
225	1164	1221
226	1170	1216
227	1174	1211
228	1180	1205
229	1185	1201
230	1190	1195
231	1195	1190
232	1200	1184
233	1205	1179
234	1210	1174
235	1215	1168
236	1219	1163
237	1224	1157
238	1229	1152
239	1234	1146
240	1238	1141
241	1244	1136
242	1249	1131
243	1254	1126
244	1260	1121
245	1265	1116
246	1271	1111
247	1275	1106
248	1282	1102
249	1287	1096
250	1292	1091
251	1298	1087
252	1305	1083
253	1311	1078
254	1316	1073
255	1321	1068
256	1326	1063
257	1332	1058
258	1338	1054
259	1343	1048
260	1349	1044
261	1354	1039
262	1359	1033
